"UTC","Year","Mo","Da","Ho","Mi","Se","LatDef","LonDef","MwDef",""
"1989-8-22T14:28:57.44","1989","08","22","14","28","57","42.011","15.485","4.08",""
"1989-8-22T14:49:54.43","1989","08","22","14","49","54","37.311","9.568","4.06",""
"1989-9-11T2:46:23.93","1989","09","11","02","46","24","43.118","13.311","4.04",""
"1989-9-13T21:54:1.5","1989","09","13","21","54","02","45.882","11.264","4.85",""
"1989-9-13T21:54:35.3","1989","09","13","21","54","35","44.856","8.673","4.55",""
"1989-9-14T18:17:5.74","1989","09","14","18","17","06","42.286","13.616","3.47",""
"1989-10-3T9:41:32.85","1989","10","03","09","41","33","44.461","10.058","4.04",""
"1989-10-5T11:9:16.72","1989","10","05","11","09","17","42.077","15.576","4.31",""
"1989-10-6T17:38:25.75","1989","10","06","17","38","26","42.118","15.681","4.61",""
"1989-10-19T23:33:25.26","1989","10","19","23","33","25","41.705","12.715","4.23",""
"1989-10-23T21:19:17.62","1989","10","23","21","19","18","41.714","12.608","4.32",""
"1989-11-17T0:54:16","1989","11","17","00","54","16","47.390","11.850","4.37",""
"1989-11-19T3:40:22.54","1989","11","19","03","40","23","42.859","12.978","4.13",""
"1989-11-21T18:36:6.41","1989","11","21","18","36","06","38.107","15.792","4.19",""
"1989-12-19T14:28:20.92","1989","12","19","14","28","21","41.656","12.708","3.90",""
"1989-12-22T6:48:13.91","1989","12","22","06","48","14","42.991","12.706","4.44",""
"1989-12-26T19:59:58.42","1989","12","26","19","59","58","43.509","7.541","4.46",""
"1990-1-11T5:31:37","1990","01","11","05","31","37","44.960","14.960","4.16",""
"1990-1-24T3:51:8.32","1990","01","24","03","51","08","39.113","16.773","3.26",""
"1990-1-24T4:45:4.02","1990","01","24","04","45","04","39.129","16.960","4.43",""
"1990-1-24T16:18:59.77","1990","01","24","16","18","60","39.165","16.787","4.01",""
"1990-1-24T16:40:11.3","1990","01","24","16","40","11","38.811","17.032","3.47",""
"1990-2-1T6:24:14.15","1990","02","01","06","24","14","42.140","15.649","4.43",""
"1990-2-11T7:0:38","1990","02","11","07","00","38","44.918","7.558","4.69",""
"1990-2-13T9:15:28.64","1990","02","13","09","15","29","42.195","15.575","4.20",""
"1990-2-15T4:56:14.2","1990","02","15","04","56","14","38.698","15.242","4.57",""
"1990-2-18T20:10:48.71","1990","02","18","20","10","49","42.171","16.457","4.24",""
"1990-3-14T1:27:55","1990","03","14","01","27","55","45.840","14.710","4.63",""
"1990-3-28T5:47:31.26","1990","03","28","05","47","31","38.187","14.983","4.39",""
"1990-4-15T7:50:35.27","1990","04","15","07","50","35","43.574","7.755","4.11",""
"1990-4-16T19:9:32.98","1990","04","16","19","09","33","41.614","14.224","3.78",""
"1990-4-22T9:45:4.66","1990","04","22","09","45","05","41.214","14.752","3.98",""
"1990-4-22T16:47:7.38","1990","04","22","16","47","07","41.172","14.822","3.63",""
"1990-5-5T7:21:17.24","1990","05","05","07","21","17","40.731","15.855","4.68",""
